,form,lemma
817,"Overrekkelsen var ellers en ganske hverdagslig seanse , og ingen fra Økokrims ledelse var møtt fram .","overrekkelse være ellers en ganske hverdagslig seanse $, og ingen fra Økokrim ledelse være møte fram $."
818,"Dahle henviser til Riksrevisjonen rapport , der seks navngitte tidligere stortingsrepresentanter blir trukket fram i forbindelse med urettmessig utbetaling av tidligpensjoner fra Stortinget .","Dahle henvise til Riksrevisjonen rapport $, der seks navngi tidlig stortingsrepresentant bli trekke fram i forbindelse med urettmessig utbetaling av tidligpensjon fra Stortinget $."
819,"- Men vi ønsker at alle de 42 representantene som fikk slik pensjon i perioden 1998 - 2008 , skal bli gransket .","$- men vi ønske at all de 42 representant som få slik pensjon i periode 1998 $- 2008 $, skulle bli granske $."
820,"Det kan være flere tilfeller av bevisst juks , i så fall er det rent bedrageri .","det kunne være mange tilfelle av bevisst juks $, i så fall være det ren bedrageri $."
821,"I andre tilfeller kan det ha være holdt igjen relevante opplysninger , og da er det snakk om grov uaktsomhet med en strafferamme på to år , sier partilederen .","i annen tilfelle kunne det ha være holde igjen relevant opplysning $, og da være det snakk om grov uaktsomhet med en strafferamme på to år $, si partileder $."
822,Dahle opplyser at han selv og partikontoret har fått en strøm av protester fra vanlige folk som selv er blitt straffet på grunn av bagatellmessige overskridelser av trygderegelverket .,Dahle opplyse at han selv og partikontor ha få en strøm av protest fra vanlig folk som selv være bli straffe på grunn av bagatellmessig overskridelse av trygderegelverk $.
823,- Folk er rasende og opprørt .,$- folk være rase og opprørt $.
824,"Jeg har knapt opplevd maken til kraftige reaksjoner , sier partilederen .","jeg ha knapp oppleve maken til kraftig reaksjon $, si partileder $."
825,Stortingets presidentskap kommer sammen tirsdag klokken 13 for å drøfte den videre håndteringen av saken .,Stortinget presidentskap komme sammen tirsdag klokke 13 for å drøfte den vid håndtering av sak $.
826,Det er ventet at granskingen av Stortingets praksis vil bli satt bort til eksterne eksperter på juss og pensjonsrett .,det være vente at gransking av Stortinget praksis ville bli sette bort til ekstern ekspert på juss og pensjonsrett $.
827,Svakt om stråling |,svak om stråling $|
828,Omstridt forsker .,omstridt forsker $.
829,Skremmebilder .,skremmebilde $.
830,Blåser opp tall .,blåse opp tall $.
831,Ubalansert .,ubalansert $.
832,El-overfølsomhet .,el-overfølsomhet $.
833,A-magasinet hadde fredag en åttesiders artikkel om stråling .,A-magasin ha fredag en åttesider artikkel om stråling $.
834,Det er særlig mobiltelefoni og trådløse nettverk som mistenkes for å være skadelig .,det være særlig mobiltelefoni og trådløs nettverk som mistenke for å være skadelig $.
835,Det åpner med en sterk beretning fra en 12-årings hverdag .,det åpne med en sterk beretning fra en 12-åring hverdag $.
836,Beretningen levner liten tvil om at gutten lider av noe .,beretning levne liten tvil om at gutt lide av noe $.
837,Spørsmålet er hva han lider av .,spørsmål være hva han lide av $.
838,"Reportasjen bygger på en tro på at årsaken til guttens plager er funnet , og at det dreier seg om el-overfølsomhet .","reportasje bygge på en tro på at årsak til gutt plage være finne $, og at det dreie seg om el-overfølsomhet $."
839,Men dette er ikke en anerkjent medisinsk diagnose .,men dette være ikke en anerkjent medisinsk diagnose $.
840,"I artikkelen ble det lagt vekt på uttalelser fra Olle Johansson fra Karolinska Institutet , angivelig en av "" verdens ledende forskere på stråling og helseeffekter "" .","i artikkel bli det legge vekt på uttalelse fra Olle Johansson fra Karolinska Institutet $, angivelig en av $"" verden lede forsker på stråling og helseeffekt $"" $."
841,Det ble ikke nevnt hvor omstridt han er .,det bli ikke nevne hvor omstridt han være $.
842,"Johansson fikk den tvilsomme ære å bli utnevnt til "" Årets Forviller "" av den svenske foreningen "" Vetenskap och Folkbildning "" i 2004 .","Johansson få den tvilsom ære å bli utnevne til $"" Årets Forviller $"" av den svensk forening $"" Vetenskap och Folkbildning $"" i 2004 $."
843,Tittelen fikk han fordi han for å få oppmerksomhet og midler til egen forskning har spredt uro i allmennheten gjennom å presentere ustyrkede hypoteser som etablerte fakta .,tittel få han fordi han for å få oppmerksomhet og middel til egen forskning ha spre uro i allmennhet gjennom å presentere ustyrke hypotese som etablere faktum $.
844,Jeg mener at Aftenposten burde være mer nyansert og objektiv i sin presentasjon av et så kontroversielt tema .,jeg mene at Aftenposten burde være mye nyansere og objektiv i sin presentasjon av en så kontroversiell tema $.
845,"Den anerkjente norske eksperten på epidemiologiske plager fra stråling , førsteamanuensis Gunnhild Oftedal ved Høgskolen i Trøndelag , er langt mer forsiktig når hun uttaler seg .","den anerkjenne norsk ekspert på epidemiologisk plage fra stråling $, førsteamanuensis Gunnhild Oftedal ved Høgskolen i Trøndelag $, være lang mye forsiktig når hun uttale seg $."
846,"Hun sa til NRK i fjor , etter et Puls-innslag om Johanssons forskning :","hun si til NRK i fjor $, etter en Puls-innslag om Johansson forskning $:"
847,« Det er lett for at en slik type studie skaper panikk .,"$"" det være lett for at en slik type studie skape panikk $."
848,Man må se denne undersøkelsen i lys av alle andre tidligere undersøkelser .,man måtte se denne undersøkelse i lys av all annen tidlig undersøkelse $.
849,"Gjør man ikke det , får man et unyansert bilde som lett kan gi unødvendig skremsel . ""","gjøre man ikke det $, få man en unyansert bilde som lett kunne gi unødvendig skremsel $. $"""
850,"Ti millioner er et stort tall , egnet til å skremme de fleste .","ti million være en stor tall $, egne til å skremme de mange $."
851,"Det refereres i saken til Statens strålevern , som mener vi er trygge med dagens grenseverdi på 10 millioner mikrowatt pr. kvadratmeter .","det referere i sak til Statens strålevern $, som mene vi være trygg med dag grenseverdi på 10 million mikrowatt pr. kvadratmeter $."
852,Men det er jo snakk om 10 watt !,men det være jo snakk om 10 watt $!
853,"Hvorfor tallet er blåst opp ved først å dele på en million for å få enheten mikrowatt , for deretter å gange med en million , kan en undre seg over .","hvorfor tall være blåse opp ved først å dele på en million for å få enhet mikrowatt $, for deretter å gange med en million $, kunne en undre seg over $."
854,"Et annet interessant tall er en milliard mikrowatt pr. kvadratmeter , som er den energimengden solens stråler gir oss på en klar dag .","en annen interessant tall være en milliard mikrowatt pr. kvadratmeter $, som være den energimengde sol stråle gi vi på en klar dag $."
855,"Eller en kilowatt , som mange ville uttrykt det .","eller en kilowatt $, som mange ville uttrykke det $."
856,"En analogi til denne måten å presentere tall på , er å si at det å falle utfor høyder er farlig .","en analogi til denne måte å presentere tall på $, være å si at det å falle utfor høyde være farlig $."
857,Punktum .,punktum $.
858,"Hvis jeg faller utfor en høyde på 1000 mikrometer , må vel det være farlig ?","hvis jeg falle utfor en høyde på 1000 mikrometer $, måtte vel det være farlig $?"
859,"Vel , det er bare en millimeter .","vel $, det være bare en millimeter $."
860,"Men alle skjønner jo at å falle utfor en høyde på 100 meter , det er farlig .","men alle skjønne jo at å falle utfor en høyde på 100 meter $, det være farlig $."
861,Som abonnent og ivrig leser av Aftenposten venter jeg mer balanserte reportasjer om alvorlige og kontroversielle emner .,som abonnent og ivrig leser av Aftenposten vente jeg mye balansere reportasje om alvorlig og kontroversiell emne $.
862,"Slipp til eksperter fra flere kanter , og prøv å gi et balansert bilde .","slippe til ekspert fra mange kant $, og prøve å gi en balansere bilde $."
863,Ler av VM-sjansene |,le av VM-sjanse $|
864,Ser på rankingen |,se på ranking $|
865,Stolte spillere |,stolt spiller $|
866,Nederland favoritter |,Nederland favoritt $|
867,Bislett :,Bislett $:
868,- Island til Sør-Afrika ?,$- Island til Sør-Afrika $?
869,"La oss gå før vi løper , sier spissen .","la vi gå før vi løpe $, si spiss $."
870,"Eidur Gudjohnsen er Islands store stjerne , og kaptein .","Eidur Gudjohnsen være Island stor stjerne $, og kaptein $."
871,Han mener Norge er favoritter lørdag .,han mene Norge være favoritt lørdag $.
872,( Foto : Digitalsport ) |,$( foto $: Digitalsport $) $|
873,Islands store stjerne var det naturlige midtpunkt i regnværet på Bislett .,Island stor stjerne være det naturlig midtpunkt i regnvær på Bislett $.
874,"Barcelona-spilleren merker presset fra de drøyt 300.000 menneskene på "" sagaøya "" , men samtidig vet han at Islands mesterskapsstatistikk er dyster lesning .","Barcelona-spiller merke press fra de drøy 300.000 menneske på $"" sagaøy $"" $, men samtidig vite han at Island mesterskapsstatistikk være dyster lesning $."
875,For Island har aldri vært i et sluttspill .,for Island ha aldri være i en sluttspill $.
876,"- Vi har underprestert i flere kvalifiseringer , ingen tvil om det , sier Gudjohnsen til aftenposten.no |","$- vi ha underprestere i mange kvalifisering $, ingen tvil om det $, si Gudjohnsen til aftenposten.no $|"
877,Den tidligere Chelsea-spissen har ingen god forklaring på hvorfor den lille øya med de mange fotballproffene aldri klarer å tromme sammen et landslag som holder helt til mål .,den tidlig Chelsea-spiss ha ingen god forklaring på hvorfor den liten øy med de mange fotballproff aldri klare å tromme sammen en landslag som holde hel til mål $.
878,"- Vi får prøve igjen , for folk hjemme har høye forhåpninger , sier han .","$- vi få prøve igjen $, for folk hjemme ha høy forhåpning $, si han $."
879,- Kan Island nå VM i Sør Afrika ?,$- kunne Island nå VM i Sør Afrika $?
880,- Vi får vel konsentrere oss om å komme inn blant de 100 beste på FIFA-rankingen først .,$- vi få vel konsentrere vi om å komme inn blant de 100 god på FIFA-ranking først $.
881,"La oss gå før vi løper , sier Gudjohnsen og ler .","la vi gå før vi løpe $, si Gudjohnsen og le $."
882,"Han mener Norge er klare favoritter lørdag , men påpeker at Island vet så å si alt om vertene .","han mene Norge være klar favoritt lørdag $, men påpeke at Island vite så å si alt om vert $."
883,"- Vi er "" underdogs "" , men vi vet nesten alt om Norge og det kan bli viktig .","$- vi være $"" underdog $"" $, men vi vite nesten alt om Norge og det kunne bli viktig $."
884,"De er fysisk sterke , utholdne og har et solid lag .","de være fysisk sterk $, utholdende og ha en solid lag $."
885,"Vi må passe oss for alle de 11 som starter , og de tre som eventuelt byttes inn .","vi måtte passe vi for all de 11 som starte $, og de tre som eventuell bytte inn $."
886,"Et poeng vil være bra , men vi er i Norge for å kjempe om alle tre , sier mannen som er tidenes toppscorer på det islandske landslaget .","en poeng ville være bra $, men vi være i Norge for å kjempe om all tre $, si mann som være tid toppscorer på det islandsk landslag $."
887,Han får støtte av veteran Hermann Hreidarsson .,han få støtte av veteran Hermann Hreidarsson $.
888,Forsvarskjempen mener Island nå må vise at de kan .,forsvarskjempe mene Island nå måtte vise at de kunne $.
889,"- Vi har toppspillere på de fleste plasser , og vi er veldig stolte av å spille for Island .","$- vi ha toppspiller på de mange plass $, og vi være veldig stolt av å spille for Island $."
890,"Men det har vi ikke klart å vise i de siste kvalifiseringene , sier Portsmouth-spilleren .","men det ha vi ikke klare å vise i de sist kvalifisering $, si Portsmouth-spiller $."
891,"Han mener Islands største problem har vært mangel på stabilt , godt spill .","han mene Island stor problem ha være mangel på stabil $, god spill $."
892,"- Vi har hatt noen sjokkresultater , men så har vi sviktet i kamper mot lag vi burde matche .","$- vi ha ha noen sjokkresultat $, men så ha vi svikte i kamp mot lag vi burde matche $."
893,"Nå har vi en ny sjanse , og den skal vi ta , sier han .","nå ha vi en ny sjanse $, og den skulle vi ta $, si han $."
894,Islendingen er klar på at Nederland er favoritter i Norges gruppe .,islending være klar på at Nederland være favoritt i Norge gruppe $.
895,"- Skottland og Norge følger på plassene bak , og så må Makedonia og vi kjempe hardt for å overraske .","$- Skottland og Norge følge på plass bak $, og så måtte Makedonia og vi kjempe hard for å overraske $."
896,For oss vil et godt resultat i Oslo være å unngå tap .,for vi ville en god resultat i Oslo være å unngå tap $.
897,"Vi vil være veldig fornøyd med et poeng , men vi har ikke kommet helt hit for å legge oss nedpå , sier Hreidarsson .","vi ville være veldig fornøyd med en poeng $, men vi ha ikke komme hel hit for å legge vi nedpå $, si Hreidarsson $."
898,Minst 20 døde i orkan i Haiti |,liten 20 dø i orkan i Haiti $|
899,Nødhjelp fra Venezuela |,nødhjelp fra Venezuela $|
900,Treffer Cuba i natt |,treffe Cuba i natt $|
901,Vanskelig å evakuere |,vanskelig å evakuere $|
902,Blant de døde er 13 barn .,blant de død være 13 barn $.
903,"Det samlede tallet på dødsofre for Ike i Karibia har dermed kommet opp i over 500 , viste tall fra FN søndag .","det samle tall på dødsoffer for Ike i Karibia ha dermed komme opp i over 500 $, vise tall fra FN søndag $."
904,"Det falt da fortsatt styrtregn over mange av de hardest rammede områdene , der ødelagt infrastruktur gjorde det vanskelig å få fram hjelp .","det falle da fortsatt styrtregn over mange av de hard ramme område $, der ødelegge infrastruktur gjøre det vanskelig å få fram hjelp $."
905,"En bro som forbinder byen Gonaives med Haitis hovedstad Port-au-Prince , styrtet sammen på grunn av uværet , og gjorde dermed den hardt prøvede byen nord i Haiti avskåret fra omgivelsene .","en bro som forbinde by Gonaives med Haiti hovedstad Port-au-Prince $, styrte sammen på grunn av uvær $, og gjøre dermed den hard prøvet by nord i Haiti avskåret fra omgivelse $."
906,En bilkolonne med forsyninger til ofre for uværet måtte gjøre vendereis på grunn av denne brokollapsen .,en bilkolonne med forsyning til offer for uvær måtte gjøre vendereis på grunn av denne brokollaps $.
907,Les også :,lese også $:
908,Akutt behov for hjelp etter Hanna |,akutt behov for hjelp etter Hanna $|
909,"Fredag ble 30 tonn med nødhjelpsvarer levert fra FNs World Food Program - den største enkeltstående leveransen til Gonaives siden de fire dødelige stormene traff Haiti , melder AP .","fredag bli 30 tonn med nødhjelpsvare levere fra FN World Food Program $- den stor enkeltstående leveranse til Gonaives siden de fire dødelig storm treffe Haiti $, melde AP $."
910,Venezuelas president Hugo Chavez sier søndag kveld at fly med mat og flaskevann er på vei også fra Venezuela til Gonaives .,Venezuela president Hugo Chavez si søndag kveld at fly med mat og flaskevann være på vei også fra Venezuela til Gonaives $.
911,"Også hjelpearbeidere og medisiner vil bli sendt til Haiti , melder er det boliviske nyhetsbyrået .","også hjelpearbeider og medisin ville bli sende til Haiti $, melde være det bolivisk nyhetsbyrå $."
912,"Ikes videre rute er noe usikker , men klokken 20 søndag kveld norsk tid var orkanen like vest for Great Inagua Island i Bahamas .","Ike vid rute være noe usikker $, men klokke 20 søndag kveld norsk tid være orkan like vest for Great Inagua Island i Bahamas $."
913,"Det er imidlertid ventet at den vil fjerne seg fra Bahamas , og treffe kysten av det østre Cuba i natt , og det sentrale Cuba mandag , melder Associated Press ( AP ) .","det være imidlertid vente at den ville fjerne seg fra Bahamas $, og treffe kyst av det østre Cuba i natt $, og det sentral Cuba mandag $, melde Associated Press $( AP $) $."
914,"Orkanen , som for øyeblikket måler en styrke tilsvarende kategori fire på Saffir-Simpson-skalaen ( se faktaramme til høyre ) , vil avta i styrke før den treffer Cuba .","orkan $, som for øyeblikk måle en styrke tilsvare kategori fire på Saffir-Simpson-skalaen $( se faktaramme til høyre $) $, ville avta i styrke før den treffe Cuba $."
915,I Florida Keys ( se kart ) er det startet evakuering av fastboende på den lavtliggende øykjeden etter at gjester ble bedt om å forlate området allerede lørdag .,i Florida Keys $( se kart $) være det starte evakuering av fastboende på den lavtliggende øykjede etter at gjest bli be om å forlate område allerede lørdag $.
916,"- Vi forstår ulempen ved evakueringen for innbyggerne og gjestene , men deres sikkerhet er førsteprioritet .","$- vi forstå ulempe ved evakuering for innbygger og gjest $, men deres sikkerhet være førsteprioritet $."
917,"Det ( uværet ) er rett og slett for nært til at vi kan la være å reagere , sier administrator i Monroe County , Roman Gastesi .","det $( uvær $) være rett og slett for nær til at vi kunne la være å reagere $, si administrator i Monroe County $, Roman Gastesi $."
918,I flere av byene ved Mexicogulfen er de evakuerte etter Gustav på vei tilbake til boligene sine mens myndighetene bekymret ser at Ike rykker nærmere |,i mange av by ved Mexicogulfen være de evakuere etter Gustav på vei tilbake til bolig sin mens myndighet bekymre se at Ike rykke nær $|
919,- Våre innbyggere er slitne og de har brukt mye penger på evakueringen - fra Gustav .,$- vår innbygger være sliten og de ha bruke mye penge på evakuering $- fra Gustav $.
920,"Min antagelse er at det blir vanskelig å få et like stort antall ut av byen denne gangen , sier borgermester Ray Nagin i New Orleans .","min antagelse være at det bli vanskelig å få en like stor antall ut av by denne gang $, si borgermester Ray Nagin i New Orleans $."
921,Følg orkanene på vårt stormkart |,følge orkan på vår stormkart $|
922,Paven advarer mot dansen om gullkalven |,pave advare mot dans om gullkalv $|
923,"Vårt moderne samfunn har gjort penger , eiendeler og makt til en form for avgudsdyrkelse som er like falsk som den vi drev med i oldtida , sier pave Benedikt .","vår moderne samfunn ha gjøre penge $, eiendel og makt til en form for avgudsdyrkelse som være like falsk som den vi drive med i oldtid $, si pave Benedikt $."
924,Mer enn 250.000 parisere møtte fram da paven holdt messe ved Invalidene i Paris lørdag .,mye enn 250.000 pariser møte fram da pave holde messe ved Invalidene i Paris lørdag $.
925,Mange unge mennesker sov under åpen himmel for å sikre seg en god plass under seremonien .,mange ung menneske sove under åpen himmel for å sikre seg en god plass under seremoni $.
926,- Har ikke det moderne samfunnet skapt sine egne avgudsbilder ? spurte paven da han talte til folkemassen på flytende fransk .,$- ha ikke det moderne samfunn skape sin egen avgudsbilde $? spørre pave da han tale til folkemasse på flytende fransk $.
927,"- Har det ikke etterlignet , kanskje uten viten og vilje , oldtidas hedninger ved å bortlede mennesket fra dets sanne mål , fra gleden ved evig liv med Gud ?","$- ha det ikke etterligne $, kanskje uten viten og vilje $, oldtid hedning ved å bortlede menneske fra det sann mål $, fra glede ved evig liv med Gud $?"
928,"Pave Benedikt siterte Paulus , som i sitt første brev til Timoteus skriver at kjærligheten til penger er roten til alt ondt .","pave Benedikt sitere Paulus $, som i sin første brev til Timoteus skrive at kjærlighet til penge være rot til all ond $."
929,"- Har ikke tørsten etter penger , etter eiendeler , etter makt og til og med etter kunnskap bortledet mennesket fra dets sanne skjebne ? spurte han .","$- ha ikke tørste etter penge $, etter eiendel $, etter makt og til og med etter kunnskap bortlede menneske fra det sann skjebne $? spørre han $."
930,Etter sitt besøk i Paris begynner paven på en pilegrimsferd i fire etapper .,etter sin besøk i Paris begynne pave på en pilegrimsferd i fire etappe $.
931,"Han skal da følge i fotefarene til Bernadette Soubirous , ei fransk jente som jomfru Maria skal ha åpenbart seg for 18 ganger i 1858 .","han skulle da følge i fotefar til Bernadette Soubirous $, en fransk jente som jomfru Maria skulle ha åpenbare seg for 18 gang i 1858 $."
932,Burde ha visst |,burde ha vite $|
933,Ny tidsregning .,ny tidsregning $.
934,"God etikk , god butikk .","god etikk $, god butikk $."
935,Muligheter og løsninger .,mulighet og løsning $.
936,Føre var .,føre var $.
937,"Granskning og opprydding er vel og bra , men ikke godt nok .","granskning og opprydding være vel og bra $, men ikke god nok $."
938,Det forventes at toppledelsen i selskapene skal fange opp kritikkverdige forhold lenge før mediene kommer på banen .,det forvente at toppledelse i selskap skulle fange opp kritikkverdig forhold lenge før medium komme på bane $.
939,Samfunnsansvar .,samfunnsansvar $.
940,« Alvorlig for Telenor ( ... ),"$"" alvorlig for Telenor $( $... $"""
941,"Ledelsen burde ha visst "" , sa styreleder Harald Norvik i forbindelse med Telenor-saken i Bangladesh .","ledelse burde ha vite $"" $, si styreleder Harald Norvik i forbindelse med Telenor-sak i Bangladesh $."
942,"Bedrifters forretningsmessige samfunnsansvar blir stadig trukket frem i forbindelse med temaer som leverandøroppfølging , antikorrupsjon og arbeidsforhold .","bedrift forretningsmessig samfunnsansvar bli stadig trekke frem i forbindelse med tema som leverandøroppfølging $, antikorrupsjon og arbeidsforhold $."
943,"Brudd på standarder , regler og egne retningslinjer trekkes frem i oppslagene i mediene .","brudd på standard $, regel og egen retningslinje trekke frem i oppslag i medium $."
944,Til nå har oppmerksomheten stort sett fokusert på hendelsene og håndteringen av disse i etterkant .,til nå ha oppmerksomhet stor se fokusere på hendelse og håndtering av disse i etterkant $.
945,"Vi ser imidlertid en endring der det nå stilles kritiske spørsmål til toppledere om at de "" burde ha visst "" .","vi se imidlertid en endring der det nå stille kritisk spørsmål til toppleder om at de $"" burde ha vite $"" $."
946,Dette forutsetter for det første at forståelsen av forretningsmessig samfunnsansvar er godt forankret i toppledelse og styre .,dette forutsette for det første at forståelse av forretningsmessig samfunnsansvar være god forankre i toppledelse og styre $.
947,Dernest er det avgjørende at samfunnsansvar er godt integrert i bedriftenes kjernevirksomhet og strategi .,dernest være det avgjørende at samfunnsansvar være god integrere i bedrift kjernevirksomhet og strategi $.
948,Ikke minst må samfunnsansvar stå sentralt i daglig proaktiv risikostyring .,ikke liten måtte samfunnsansvar stå sentral i daglig proaktiv risikostyring $.
949,Vi ønsker her å peke på de mulighetene som ligger i forretningsmessig samfunnsansvar .,vi ønske her å peke på de mulighet som ligge i forretningsmessig samfunnsansvar $.
950,Når vi snakker om proaktiv risikostyring er det viktig å huske at risiko like mye knytter seg til faren for tapte muligheter som til trusselen for at noe galt vil skje .,når vi snakke om proaktiv risikostyring være det viktig å huske at risiko like mye knytte seg til fare for tape mulighet som til trussel for at noen gal ville skje $.
951,Vi opplever et økende fokus på arbeidet med forretningsmessig samfunnsansvar .,vi oppleve en øke fokus på arbeid med forretningsmessig samfunnsansvar $.
952,Det er lenge siden dette arbeidet var begrenset til filantropi .,det være lenge siden dette arbeid være begrenset til filantropi $.
953,"Endringen har kommet gradvis , som følge av skandaler som for eksempel Enron , nytt lovverk med verdensomspennende konsekvenser , som det amerikanske Sarbanes-Oxley Act , og nye forventninger til åpenhet og rapportering .","endring ha komme gradvis $, som følge av skandale som for eksempel Enron $, ny lovverk med verdensomspennende konsekvens $, som det amerikansk Sarbanes-Oxley Act $, og ny forventning til åpenhet og rapportering $."
954,"Forretningsmessig samfunnsansvar har beveget seg dithen at selskaper ikke lenger kan være reaktive i forhold til hendelser , men bør være i forkant av lovgivning for å møte fremtidige forventninger .","forretningsmessig samfunnsansvar ha bevege seg dithen at selskap ikke lenge kunne være reaktiv i forhold til hendelse $, men burde være i forkant av lovgivning for å møte fremtidig forventning $."
955,Flere og flere bedrifter erkjenner at næringsvirksomhet ikke kan lykkes i samfunn og miljø som svikter .,mange og mange bedrift erkjenne at næringsvirksomhet ikke kunne lykkes i samfunn og miljø som svikte $.
956,Derfor velger de å se på forretningsmessig samfunnsansvar som del av en langsiktig strategi for bærekraftig utvikling .,derfor velge de å se på forretningsmessig samfunnsansvar som del av en langsiktig strategi for bærekraftig utvikling $.
957,"På den annen side ser både myndigheter og NGO'er i økende grad på næringslivet som en del av løsningen på store globale utfordringer , og ikke bare som en trussel som må reguleres .","på den annen side se både myndighet og NGO i øke grad på næringsliv som en del av løsning på stor global utfordring $, og ikke bare som en trussel som måtte regulere $."
958,"For å kunne være en del av løsningen , må imidlertid næringslivet også gjøre det de er best på ; nemlig skape varige verdier gjennom teknologiutvikling og innovasjon .","for å kunne være en del av løsning $, måtte imidlertid næringsliv også gjøre det de være god på $; nemlig skape varig verdi gjennom teknologiutvikling og innovasjon $."
959,For å være bærekraftig er det avgjørende at samfunnsansvarlig drift virker positivt på bunnlinjen .,for å være bærekraftig være det avgjørende at samfunnsansvarlig drift virke positiv på bunnlinje $.
960,Det må legges til rette for at god etikk blir god butikk .,det måtte legge til rett for at god etikk bli god butikk $.
961,"Ifølge noen av verdens mest innflytelsesrike selskaper i World Business Council for Sustainable Development ( WBCSD ) , er aksjeverdier en måleparameter på hvor godt en leverer verdi til samfunnet , ikke et mål i seg selv .","ifølge noen av verden mye innflytelsesrik selskap i World Business Council for Sustainable Development $( WBCSD $) $, være aksjeverdi en måleparameter på hvor god en levere verdi til samfunn $, ikke en mål i seg selv $."
962,"Vi ser nå at stadig flere investeringsporteføljer har fokus på ansvarlig bærekraftig drift , og at klimaverstinger og andre som ikke oppfyller gitte prinsipper for ansvarlig forretningsførsel kan bli ekskludert .","vi se nå at stadig mange investeringsportefølje ha fokus på ansvarlig bærekraftig drift $, og at klimaversting og annen som ikke oppfylle gi prinsipp for ansvarlig forretningsførsel kunne bli ekskludere $."
963,Beregninger viser at samfunnsansvarlige investeringer ikke gir dårligere avkastning enn de som ikke stiller krav til miljø- og samfunnsansvar .,beregning vise at samfunnsansvarlig investering ikke gi dårlig avkastning enn de som ikke stille krav til miljø- og samfunnsansvar $.
964,La oss ikke glemme alle suksesshistoriene for ansvarlig drift i vanskelige land med store positive ringvirkninger både for miljø og samfunn .,la vi ikke glemme all suksesshistorie for ansvarlig drift i vanskelig land med stor positiv ringvirkning både for miljø og samfunn $.
965,Disse må kommuniseres for å oppmuntre andre til innsats .,disse måtte kommunisere for å oppmuntre annen til innsats $.
966,Gjennom ensidig fokus på trusler og utfordringer knebler vi selskapers evne til å tenke nytt og innovativt og til å bidra til løsninger på noen av verdens største utfordringer .,gjennom ensidig fokus på trussel og utfordring kneble vi selskap evne til å tenke ny og innovativ og til å bidra til løsning på noen av verden stor utfordring $.
967,Frykten for negative oppslag må ikke gjøre at selskaper vegrer seg for å være åpne på de utfordringer og dilemmaer en møter med tilstedeværelse i vanskelige land .,frykt for negativ oppslag måtte ikke gjøre at selskap vegre seg for å være åpen på de utfordring og dilemma en møte med tilstedeværelse i vanskelig land $.
968,Ingen er ufeilbarlige .,ingen være ufeilbarlig $.
969,Det er viktig å ha gode retningslinjer og instrukser på plass for å ivareta aspekter rundt forretningsmessig samfunnsansvar .,det være viktig å ha god retningslinje og instruks på plass for å ivareta aspekt rundt forretningsmessig samfunnsansvar $.
970,Videre er det avgjørende ha systemer på plass for å sjekke at de etterleves og er godt implementert .,vid være det avgjørende ha system på plass for å sjekke at de etterleve og være god implementere $.
971,I tillegg til dette er det imidlertid viktig å være åpne på at regler og retningslinjer ikke kan dekke enhver eventualitet .,i tillegg til dette være det imidlertid viktig å være åpen på at regel og retningslinje ikke kunne dekke enhver eventualitet $.
972,Det må være rom for kontinuerlig forbedring .,det måtte være rom for kontinuerlig forbedring $.
973,Gjennom risikogjennomganger og evalueringer kan selskaper avdekke de svake ledd slik at en kan finne riktig sted å sette inn innsatsen .,gjennom risikogjennomgang og evaluering kunne selskap avdekke de svak ledd slik at en kunne finne riktig sted å sette inn innsats $.
974,Det er for eksempel utviklet spesifikke verktøy for å måle bedrifters evne til å bekjempe svindel og korrupsjon .,det være for eksempel utvikle spesifikk verktøy for å måle bedrift evne til å bekjempe svindel og korrupsjon $.
975,"Internasjonal tilstedeværelse er krevende , og de selskaper som tør å ta utfordringen , må hjelpes til å lykkes .","internasjonal tilstedeværelse være kreve $, og de selskap som tørre å ta utfordring $, måtte hjelpe til å lykkes $."
976,Vi må ikke la det perfekte bli det godes fiende .,vi måtte ikke la det perfekt bli det god fiende $.
977,Jarstein blåste i hetsen |,Jarstein blåse i hets $|
978,- Au !,$- au $!
979,Ble FFK-fansens offer |,bli FFK-fans offer $|
980,Lårsmertene fortsetter |,lårsmerte fortsette $|
981,FFK-RBK 1 - 1 :,FFK-RBK 1 $- 1 $:
982,Men RBK-keeperen hadde nok en tøff dag på jobben .,men RBK-keeper ha nok en tøff dag på jobb $.
983,Blåste i hetsen :,blåse i hets $:
984,"Rune Almenning Jarstein avviste at ropingen hadde gått inn på ham , selv om han slapp inn sitt andre frispark på to kamper .","Rune Almenning Jarstein avvise at roping ha gå inn på han $, selv om han slippe inn sin andre frispark på to kamp $."
985,De første 43 minuttene hadde Rosenborg all makt og tilnærmet full kontroll på Fredrikstad Stadion .,de første 43 minutt ha Rosenborg all makt og tilnærmet full kontroll på Fredrikstad Stadion $.
986,Så ble det fullt kaos .,så bli det full kaos $.
987,"I sentrum , igjen :","i sentrum $, igjen $:"
988,Rune Almenning Jarstein .,Rune Almenning Jarstein $.
989,"Først plukket han opp ballen som kom fra Kris Stadsgaards hæl , i den tro at det ikke var tilbakespill .","først plukke han opp ball som komme fra Kris Stadsgaard hæl $, i den tro at det ikke være tilbakespill $."
990,"- Jeg demper først på brystet , men vurderer det som om han ikke bevisst spiller tilbake , sier Jarstein .","$- jeg dempe først på bryst $, men vurdere det som om han ikke bevisst spille tilbake $, si Jarstein $."
